split,feature_set_id,seed,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,seed_bootstrap,interval
sequence_cluster,C,2,mae,0.7542798433528787,0.5399892936267967,0.8283830674746864,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,2,spearman,0.4726984294837761,0.40736958585397753,0.6902265944835815,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,3,r2,0.04231915111496776,-0.08663273004315196,0.4369093824987081,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,3,rmse,1.0533341709549513,0.6868150344055718,1.153967681044786,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,3,mae,0.7338333864742891,0.5085958641084972,0.8077520751758959,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,3,spearman,0.4371504363311193,0.3303897645536229,0.718132687461353,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,4,r2,0.10856560964158335,0.0038536530014310153,0.43556979038743276,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,4,rmse,1.0162497790236977,0.6977931380541081,1.106763619236656,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,4,mae,0.7185762584045019,0.5194515779219836,0.7867946113545063,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,4,spearman,0.45892820175190385,0.3739984066180658,0.7082552930657539,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,0,r2,0.2509650962167067,0.1844651124020149,0.5044548668202172,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,0,rmse,0.9315513502436857,0.6457512228171918,1.00795794317756,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,0,mae,0.6017522762878275,0.48958302452758923,0.6385021249517996,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,0,spearman,0.5887135546719727,0.5211273277681222,0.790222990940761,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,1,r2,0.30003242020059084,0.21543899374737988,0.6044679599086366,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,1,rmse,0.9005228446565806,0.5935476162613574,0.979738556452967,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,1,mae,0.5423798090709134,0.42218766261732876,0.5767413587026061,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,1,spearman,0.6174049807731317,0.5465526827475788,0.8340137010266067,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,2,r2,0.26890387003433835,0.1988472348324898,0.545221134137664,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,2,rmse,0.92032880356802,0.6302939365579779,0.9947408165932435,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,2,mae,0.5974570049285195,0.46272861322499054,0.6323663251208365,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,2,spearman,0.6027571289913983,0.5336465197597151,0.8184815269138354,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,3,r2,0.2653163895335995,0.17566691471392337,0.6000604601245297,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,3,rmse,0.9225840618745469,0.5938128901863633,1.0044520665666754,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,3,mae,0.573541732221208,0.43038821227299745,0.6133398323489814,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,3,spearman,0.5832912502259783,0.5059679062756477,0.837793219366612,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,4,r2,0.278935899024081,0.21081610993810299,0.52376903620846,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,4,rmse,0.9139926619730028,0.6243372466187809,0.9885000467974359,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,4,mae,0.5816616950896228,0.47415592488749164,0.6189552454288023,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+B,4,spearman,0.6200268229071589,0.5632173714580823,0.8000791239415992,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+C,0,r2,0.2545378224085436,0.17275277134569147,0.5333825591710165,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+C,0,rmse,0.9293270506500823,0.6373354405156149,1.0104782018515521,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+C,0,mae,0.6098072952754341,0.4473702784944651,0.6596470837997596,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,A+C,0,spearman,0.5758386945491163,0.5067434457884743,0.7915317180158169,held-out 70% sequence cluster,2000,20260717,percentile
