representation_id,seed,feature,subblock,mean_absolute_shap,proportion
B,0,anchor_count_unique,B1,0.027710555121302605,0.023069335147738457
B,0,anchor_density,B1,0.043889936059713364,0.03653884306550026
B,0,anchor_pos_mean,B1,0.07919534295797348,0.06593097001314163
B,0,anchor_pos_std,B1,0.15027756989002228,0.12510769069194794
B,0,anchor_pos_range,B1,0.08326267451047897,0.06931707262992859
B,0,anchor_res_A,B2,0.09609925001859665,0.08000365644693375
B,0,anchor_res_C,B2,0.0,0.0
B,0,anchor_res_D,B2,0.03190282732248306,0.02655944600701332
B,0,anchor_res_E,B2,0.0,0.0
B,0,anchor_res_F,B2,0.050612375140190125,0.04213534668087959
B,0,anchor_res_G,B2,0.030676623806357384,0.025538619607686996
B,0,anchor_res_H,B2,0.0,0.0
B,0,anchor_res_I,B2,0.005951025523245335,0.004954292438924313
B,0,anchor_res_K,B2,0.0,0.0
B,0,anchor_res_L,B2,0.096648670732975,0.0804610550403595
B,0,anchor_res_M,B2,0.0,0.0
B,0,anchor_res_N,B2,0.0,0.0
B,0,anchor_res_P,B2,0.08417193591594696,0.07007404416799545
B,0,anchor_res_Q,B2,0.0,0.0
B,0,anchor_res_R,B2,0.0,0.0
B,0,anchor_res_S,B2,0.00892765261232853,0.007432366721332073
B,0,anchor_res_T,B2,0.008107823319733143,0.006749850232154131
B,0,anchor_res_V,B2,0.018071908503770828,0.015045057982206345
B,0,anchor_res_W,B2,0.0,0.0
B,0,anchor_res_Y,B2,0.0016820109449326992,0.0014002921525388956
B,0,anchor_hydrophobic_frac,B3,0.06220216676592827,0.0517839714884758
B,0,anchor_charged_frac,B3,0.010438178665935993,0.008689896203577518
B,0,anchor_polar_frac,B3,0.016785813495516777,0.013974370434880257
B,0,anchor_aromatic_frac,B3,0.03111843392252922,0.025906430557370186
B,0,anchor_small_frac,B3,0.04966757073998451,0.041348785161972046
B,0,anchor_proline_frac,B3,0.020981302484869957,0.017467159777879715
B,0,anchor_terminal_frac,B3,0.010325743816792965,0.008596292696893215
B,0,anchor_n_terminal_count,B3,0.00488691870123148,0.004068412352353334
